47.1965800063,-91.377896,Thamnophis sirtalis sirtalis,Eastern Garter Snake,Reptilia,"Split Rock Lighthouse State Park, Two Harbors, MN, US",takeahike
47.9672091214,-90.4818212986,Chrysemys picta,Painted Turtle,Reptilia,Little Trout Lake,cherylbatson
46.8918216922,-93.7895127386,Chrysemys picta,Painted Turtle,Reptilia,"Smoky Hollow Township, MN, USA",cherylbatson
47.9884770415,-91.3362480327,Chrysemys picta,Painted Turtle,Reptilia,"Fall Lake Township, MN, USA",filee14
48.4708113532,-92.8458395228,Thamnophis sirtalis,Common Garter Snake,Reptilia,"International Falls, MN 56649, USA",filee14
45.5791150012,-92.6052672343,Emydoidea blandingii,Blanding's Turtle,Reptilia,"Minnesota, US",naturalistdave99
45.521636312,-92.7291569595,Chrysemys picta,Painted Turtle,Reptilia,"Chisago County, MN, USA",naturalistdave99
44.8338968232,-93.0423251165,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Inver Grove Heights, MN, USA",davidholmen
45.2533285093,-93.3885211359,Thamnophis sirtalis,Common Garter Snake,Reptilia,"Minnesota, US",carissab
45.2065311303,-93.3274698339,Thamnophis sirtalis,Common Garter Snake,Reptilia,"Minnesota, US",carissab
45.2201998676,-93.373251518,Plestiodon septentrionalis,Prairie Skink,Reptilia,"Minnesota, US",carissab
45.3241724899,-93.3629590182,Thamnophis sirtalis,Common Garter Snake,Reptilia,"Minnesota, US",carissab
45.2961340577,-93.2272291173,Thamnophis sirtalis,Common Garter Snake,Reptilia,"Minnesota, US",carissab
45.2354020535,-93.3208268128,Thamnophis sirtalis,Common Garter Snake,Reptilia,"Minnesota, US",carissab
45.3032925421,-93.2970005045,Thamnophis sirtalis,Common Garter Snake,Reptilia,"Minnesota, US",carissab
45.2006079017,-93.3197926683,Plestiodon septentrionalis,Prairie Skink,Reptilia,"Minnesota, US",carissab
45.3344922976,-93.2387405212,Plestiodon septentrionalis,Prairie Skink,Reptilia,"Minnesota, US",carissab
45.2497752403,-93.2880089101,Plestiodon septentrionalis,Prairie Skink,Reptilia,"Minnesota, US",carissab
45.2417550118,-93.3926652338,Plestiodon septentrionalis,Prairie Skink,Reptilia,"Minnesota, US",carissab
45.2387611605,-93.3208877833,Plestiodon septentrionalis,Prairie Skink,Reptilia,"Minnesota, US",carissab
45.2548953726,-96.404889822,Chrysemys picta,Painted Turtle,Reptilia,"Yellow Bank Township, MN, USA",a-geoman
43.7180351416,-96.1902550774,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Rock County, MN, USA",carbonated_warbler
46.2820265796,-96.0754119888,Chrysemys picta,Painted Turtle,Reptilia,"Fergus Falls, MN 56537, USA",jessejameswhite
44.4374656497,-93.152831026,Thamnophis radix,Plains Garter Snake,Reptilia,"Northfield, MN 55057, USA",gabrielfisher-navarro
45.0833781281,-93.6065253678,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"Corcoran, MN, USA",marinebioteacher
46.8631518468,-96.4714716884,Chrysemys picta,Painted Turtle,Reptilia,"Clay County, MN, USA",arognlie
45.115306,-93.139467,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"1212 karth lake drive Arden Hills, MN",loarie
45.115306,-93.139467,Thamnophis sirtalis sirtalis,Eastern Garter Snake,Reptilia,"1212 karth lake drive Arden Hills, MN",loarie
46.13106,-92.867423,Thamnophis sirtalis,Common Garter Snake,Reptilia,"Sandstone, MN",hselen
43.7585,-92.0043333333,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Minnesota Memorial Hardwood State Forest, Lanesboro, Minnesota, US",bwiessner
44.027872,-92.428909,Storeria occipitomaculata,Red-bellied Snake,Reptilia,"310 Silver Creek Rd NE, Rochester, Minnesota, US",chrispherp
