44.9311218262,-95.7154693604,Chrysemys picta,Painted Turtle,Reptilia,b'',b'rager001'
46.120144,-92.997699,Chrysemys picta,Painted Turtle,Reptilia,"b'Northwoods, Sandstone, MN, US'",b'hselen'
45.2135190079,-93.9721733898,Emydoidea blandingii,Blanding's Turtle,Reptilia,"b'Minnesota, US'",b'rager001'
43.5942,-91.2814,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'marsh along hwy 26, Houston Co., MN'",b'greglasley'
43.602926,-91.271667,Graptemys pseudogeographica,False Map Turtle,Reptilia,"b'Reno Bottoms Mississippi River Access, Houston Co., MN'",b'greglasley'
43.602574,-91.271428,Graptemys geographica,Northern Map Turtle,Reptilia,"b'Reno Bottoms Mississippi River Access,  Houston Co., Minnesota'",b'greglasley'
48.1209,-92.5336,Chrysemys picta,Painted Turtle,Reptilia,"b'Orr-Buyck Road, St. Louis Co., Minnesota'",b'greglasley'
45.552358494,-96.9418047379,Storeria occipitomaculata,Red-bellied Snake,Reptilia,"b'Minnesota, US'",b'skiman1016'
47.770116,-94.084607,Thamnophis sirtalis,Common Garter Snake,Reptilia,"b'Lost 40 SNA, MN'",b'elhaase'
47.203161,-95.253724,Chrysemys picta,Painted Turtle,Reptilia,"b'Clearwater, Minnesota, United States'",b'riversedge'
45.438991,-95.284629,Thamnophis sirtalis parietalis,Red-sided Garter Snake,Reptilia,"b'56334, Glenwood, MN, US'",b'sharingsharon'
